transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,phone,payment_status,master_category,master_price,email_hash,revenue,year,month
1,642,Troy Mitchell,108,15000.0,Mixer Grinder,Home Appliances,offline,Bangalore,2025-12-06,3,UPI,0.1,83******68,successful,Home Appliances,15000,40a175d94b67c5b138751e12e16c6ea52cdbc0ab22559fe806ac2eeca13b7f76,40500.0,2025,December
2,881,Sarah Guerrero,102,70000.0,Phone,Electronics,online,Bangalore,2025-07-21,5,Card,0.35,71******11,successful,Electronics,70000,24ebfd46331edd85d7f408a907f7a6b0f75b1204bb7ca18fa01cb69fe9629578,227500.0,2025,July
3,505,Samantha Hull,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11,2,UPI,0.05,74******65,successful,Home Appliances,65000,a591c2c7e3daa665f8db77a6444c0bdd92d4891127dfdf478b5d89494fe8860a,123500.0,2025,July
4,794,Gerald Cooper,106,80000.0,Sofa,Furniture,offline,Chennai,2025-10-06,2,UPI,0.05,97******01,successful,Furniture,80000,48f7c7da0f1149d18db2ff590fcd581d208473f5e9164d4e892a313d7ee3e354,152000.0,2025,October
5,864,Cameron Black,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2025-12-12,1,Cash,0.05,99******77,successful,Home Appliances,15000,f842de5fc6e0b75b586d413b7f3d48e6dc07751f2385c2bd38e503377b43b861,14250.0,2025,December
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,87******17,successful,Electronics,250000,35422c1d429d29fd2762fbd57ed7705b3be3f22ec4f67a573b7f5bb5321a12fa,812500.0,2025,July
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,87******17,failed,Electronics,250000,35422c1d429d29fd2762fbd57ed7705b3be3f22ec4f67a573b7f5bb5321a12fa,812500.0,2025,July
7,142,Charles Brown,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-03-03,2,UPI,0.05,99******22,successful,Electronics,250000,dd8e7e1212fb3dadf7d88f50f3662b130bb9658196408112c7b3c2319d2f2159,475000.0,2026,March
8,457,Cathy Harris,102,70000.0,Phone,Electronics,online,Hyderabad,2026-02-19,1,Card,0.05,83******76,successful,Electronics,70000,50ae2f3087f040cb08fb469964bd35e3fda48e18b7f834d2fa7e982e7593b5ba,66500.0,2026,February
9,749,Linda Lara,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-08-30,3,Card,0.3,74******01,successful,Home Appliances,45000,cb4afee4597a3d0dda92f69441f05067c40c08f1f1921e5aba8e8f3f3ca25e1c,94500.0,2025,August
10,146,Jose Thomas,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,2,UPI,0.4,83******63,successful,Electronics,70000,abd7e3dafa4e2a5244ee3c32d8cbf9a1693aa8e69bd4931a3d3be98d6776180f,84000.0,2025,December
11,946,Lisa Cochran,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-15,4,Card,0.3,83******19,successful,Clothing,8000,de0b75129679b50c6e972d740b5d620d1096d3feed03f8ab772ec191ca6ea6e4,22400.0,2025,December
12,757,Yvette Clark,106,80000.0,Sofa,Furniture,online,Hyderabad,2025-06-30,3,UPI,0.25,60******34,successful,Furniture,80000,fb83e27ab1213d4d5e5851d2d484c4c7ccf0287f07aa72434328697fb67265cc,180000.0,2025,June
13,838,Susan Torres,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-06-14,5,Cash,0.35,87******26,successful,Home Appliances,65000,d963ec958fe698223197322410b345061770c0599a9638fd33e321690a5f8ae6,211250.0,2025,June
